step,distance,enhanced_speed,cadence,grade,max_heart_rate_perct,power
497,4.37704,31.014,80,0,0.6341,2.5676
498,4.38569,31.0536,80,0,0.6341,2.7973
499,4.39426,31.0824,81,0,0.6341,2.7568
500,4.40307,31.0428,80,0,0.6394,2.6622
501,4.41157,30.5892,72,0,0.6394,2.3243
502,4.42004,30.6684,80,0,0.6394,2.1081
503,4.42861,30.7296,80,0,0.6341,2.5811
504,4.43709,30.7368,80,0,0.6341,3.0405
505,4.44563,30.7116,80,0,0.6341,3.2432
506,4.45432,30.4272,79,0,0.6341,2.9054
507,4.4628,30.3732,86,0,0.6341,2.5541
508,4.47106,30.4056,87,0,0.6394,2.5135
509,4.47959,30.69,88,0,0.6394,2.5676
510,4.48802,30.8124,89,0,0.6394,2.3919
511,4.49676,31.1328,89,0,0.6394,2.3784
512,4.50517,31.0248,84,0,0.6394,2.0405
513,4.51397,31.0464,80,0,0.6394,1.3514
514,4.52265,31.3452,80,0,0.6394,1.8514
515,4.53135,31.3344,81,0,0.6394,2.6622
516,4.54008,31.3308,82,0,0.6394,2.5
517,4.54869,31.3488,81,0,0.6394,2.4459
518,4.55642,31.338,81,0,0.6447,2.6622
519,4.5661,31.3848,81,0,0.6447,2.8919
520,4.575,31.392,81,0,0.6447,2.6757
521,4.5836,31.3344,81,0,0.6447,2.3108
522,4.59233,31.284,81,0,0.6447,2.6486
523,4.60086,31.2336,81,0,0.65,2.7973
524,4.60944,30.8592,80,0,0.65,2.3378
525,4.61812,30.8052,80,0,0.6553,2.1486
526,4.62679,30.7728,80,0,0.6553,2.527
527,4.63521,30.7908,80,0,0.6605,2.6486
528,4.64371,30.816,80,0,0.6605,2.7297
529,4.65231,30.9528,80,0,0.6605,2.7973
530,4.66098,30.978,80,0,0.6605,2.6757
531,4.66983,31.05,81,0,0.6553,2.4595
532,4.67825,31.1004,80,0,0.6553,2.2432
533,4.68706,31.1184,80,0,0.6553,2.2568
534,4.6954,31.1256,80,0,0.6553,2.2838
535,4.70427,31.1112,80,0,0.6553,2.2568
